epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,1366.11,1.74345,0.96792,0.00562,0.76526,0.72764,0.73735,0.34288,1.91708,1.08336,0.00682,0.0014324,0.0014324,0.0014324
88,1383.22,1.76365,0.97656,0.00565,0.74214,0.74512,0.73509,0.34289,1.89422,1.06261,0.00669,0.0014258,0.0014258,0.0014258
89,1402.82,1.71291,0.92614,0.00533,0.75946,0.70948,0.73429,0.3364,1.91596,1.10595,0.00674,0.0014192,0.0014192,0.0014192
90,1419.95,1.73763,0.89348,0.00551,0.74897,0.73036,0.74199,0.35265,1.91409,1.0666,0.00686,0.0014126,0.0014126,0.0014126
91,1437.14,1.75491,0.95926,0.00551,0.76065,0.72878,0.73895,0.34881,1.88751,1.0328,0.00655,0.001406,0.001406,0.001406
92,1454.81,1.71241,0.90831,0.00549,0.75836,0.72629,0.74843,0.35877,1.87536,1.04802,0.00656,0.0013994,0.0013994,0.0013994
93,1472.1,1.65982,0.87288,0.00536,0.7527,0.7236,0.73083,0.32788,1.95609,1.07848,0.00686,0.0013928,0.0013928,0.0013928
94,1489.35,1.68543,0.89631,0.0052,0.78534,0.72495,0.74697,0.34782,1.90619,1.08772,0.00675,0.0013862,0.0013862,0.0013862
95,1506.34,1.65809,0.93511,0.00576,0.77986,0.71284,0.75125,0.35236,1.86805,1.07081,0.00662,0.0013796,0.0013796,0.0013796
96,1523.34,1.68988,0.84504,0.00529,0.75458,0.7458,0.74433,0.34716,1.91714,1.03904,0.00679,0.001373,0.001373,0.001373
97,1540.88,1.73473,0.95299,0.00546,0.76585,0.74785,0.74914,0.34669,1.904,1.01029,0.00683,0.0013664,0.0013664,0.0013664
98,1557.9,1.68378,0.91429,0.00535,0.78859,0.74251,0.75455,0.35944,1.87187,1.02547,0.00658,0.0013598,0.0013598,0.0013598
99,1574.64,1.70716,0.9451,0.00553,0.79109,0.7487,0.76511,0.37006,1.87119,1.01671,0.00666,0.0013532,0.0013532,0.0013532
100,1592.25,1.69662,0.88303,0.00509,0.76396,0.72898,0.74109,0.35291,1.86177,1.07966,0.00658,0.0013466,0.0013466,0.0013466
101,1611.6,1.71729,0.90034,0.00526,0.77546,0.72831,0.75247,0.35339,1.89905,1.05316,0.0067,0.00134,0.00134,0.00134
102,1628.9,1.64865,0.89194,0.00544,0.79207,0.75319,0.76422,0.35167,1.91847,0.99243,0.00673,0.0013334,0.0013334,0.0013334
103,1648.6,1.76214,0.9909,0.00551,0.76943,0.73383,0.74715,0.34982,1.89696,1.06966,0.00672,0.0013268,0.0013268,0.0013268
104,1668.6,1.71465,0.89944,0.00528,0.81381,0.73773,0.77415,0.37592,1.87335,1.00272,0.00661,0.0013202,0.0013202,0.0013202
105,1685.69,1.6374,0.87151,0.0052,0.7944,0.73436,0.76796,0.37623,1.86985,1.04093,0.00667,0.0013136,0.0013136,0.0013136
106,1703.11,1.6321,0.8458,0.0054,0.75843,0.73686,0.75104,0.35894,1.87523,1.06367,0.00656,0.001307,0.001307,0.001307
107,1721.95,1.64409,0.86953,0.00529,0.75365,0.75092,0.75124,0.35812,1.89749,1.04088,0.00662,0.0013004,0.0013004,0.0013004
108,1739,1.63438,0.8642,0.00515,0.77345,0.73929,0.75739,0.36403,1.86805,1.03181,0.00664,0.0012938,0.0012938,0.0012938
109,1756.99,1.64325,0.84853,0.00526,0.795,0.72562,0.76289,0.37994,1.83627,0.99732,0.00637,0.0012872,0.0012872,0.0012872
110,1774.48,1.66072,0.87939,0.00529,0.79932,0.71249,0.73964,0.35102,1.85947,1.06174,0.00654,0.0012806,0.0012806,0.0012806
111,1791.52,1.69045,0.90741,0.00527,0.76535,0.74781,0.7549,0.36574,1.86586,0.99037,0.00656,0.001274,0.001274,0.001274
112,1810.71,1.62833,0.8826,0.00508,0.76016,0.74815,0.75878,0.35787,1.89943,1.00593,0.00662,0.0012674,0.0012674,0.0012674
