Ep 5 | B 70 | Src:10.86 | Psd:10.98 | PLs:2 | AvgC:0.866 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 80 | Src:9.98 | Psd:53.95 | PLs:1 | AvgC:0.801 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 5 | B 90 | Src:12.74 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.013 | Conf:0.70 | LR:9.94e-05
Ep 6 | B 0 | Src:12.04 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 10 | Src:12.68 | Psd:82.31 | PLs:2 | AvgC:0.735 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 20 | Src:10.99 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 30 | Src:12.27 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 40 | Src:10.49 | Psd:17.89 | PLs:2 | AvgC:0.750 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 50 | Src:12.09 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 60 | Src:8.61 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 70 | Src:10.49 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 80 | Src:12.53 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 6 | B 90 | Src:15.99 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.015 | Conf:0.70 | LR:9.91e-05
Ep 7 | B 0 | Src:9.24 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 10 | Src:11.14 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 20 | Src:12.07 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 30 | Src:15.61 | Psd:53.16 | PLs:1 | AvgC:0.795 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 40 | Src:10.30 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
Ep 7 | B 50 | Src:10.29 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.017 | Conf:0.70 | LR:9.88e-05
