               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.055282,            0.020499,                   0,             0.79473,             0.75943,             0.80204,             0.37952,            0.048915,            0.017558,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.055629,            0.019631,                   0,             0.79741,             0.75858,             0.80506,             0.37685,            0.049935,            0.017977,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.055549,            0.020798,                   0,             0.80523,             0.75218,             0.80581,             0.37847,            0.048724,            0.017427,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.053601,            0.021818,                   0,              0.7958,              0.7458,             0.80145,              0.3847,             0.04832,            0.017728,                   0,             0.00841,             0.00841,             0.00841
                  55,            0.053602,            0.019117,                   0,             0.80969,             0.75539,             0.80737,             0.38407,             0.04875,            0.017673,                   0,             0.00838,             0.00838,             0.00838
                  56,            0.055191,            0.021019,                   0,              0.7966,             0.70991,             0.76718,              0.3657,            0.048533,            0.018018,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.053379,            0.022596,                   0,             0.80841,             0.73922,             0.79505,             0.38315,            0.049117,            0.017533,                   0,             0.00832,             0.00832,             0.00832
                  58,             0.05252,            0.021015,                   0,             0.79524,             0.74586,             0.79742,             0.37563,            0.050085,            0.017621,                   0,             0.00829,             0.00829,             0.00829
                  59,            0.054566,            0.020566,                   0,             0.81729,             0.72944,             0.79744,             0.38076,            0.048307,            0.017865,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.055546,            0.024538,                   0,             0.79502,             0.75202,             0.80155,             0.38375,             0.04771,            0.018059,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.053893,            0.019909,                   0,             0.80284,             0.75735,             0.80732,             0.40076,            0.047433,             0.01773,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.054478,            0.020967,                   0,              0.8082,             0.74676,             0.78683,             0.38076,            0.049061,            0.018021,                   0,             0.00817,             0.00817,             0.00817
                  63,            0.055054,            0.019255,                   0,             0.82258,             0.74983,             0.80093,             0.37871,              0.0478,            0.017692,                   0,             0.00814,             0.00814,             0.00814
