               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.053767,            0.019941,                   0,             0.80923,             0.73408,             0.78851,             0.38249,             0.04709,             0.01751,                   0,             0.00775,             0.00775,             0.00775
                  77,            0.052239,            0.020417,                   0,             0.81225,             0.75343,             0.79678,             0.37479,            0.047071,             0.01713,                   0,             0.00772,             0.00772,             0.00772
                  78,            0.053252,            0.018663,                   0,             0.82476,             0.72035,             0.77412,             0.37283,            0.048152,            0.017993,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.053534,            0.020806,                   0,             0.79038,              0.7216,             0.77567,             0.35672,             0.04728,            0.017707,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.054071,            0.020816,                   0,             0.85179,             0.70849,             0.79357,             0.38008,             0.04671,             0.01739,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.052544,              0.0189,                   0,             0.81982,             0.73278,             0.79047,             0.38959,             0.04537,            0.017671,                   0,              0.0076,              0.0076,              0.0076
                  82,            0.051511,            0.022287,                   0,             0.84069,             0.72471,             0.79067,              0.3888,            0.045866,            0.017785,                   0,             0.00757,             0.00757,             0.00757
                  83,            0.052967,            0.021347,                   0,             0.82359,             0.73533,             0.78149,             0.38398,            0.046171,            0.018468,                   0,             0.00754,             0.00754,             0.00754
                  84,            0.054097,            0.021871,                   0,             0.83477,             0.73596,             0.78674,             0.38659,            0.046823,            0.017947,                   0,             0.00751,             0.00751,             0.00751
                  85,            0.052185,            0.017885,                   0,             0.85545,             0.73096,             0.78713,             0.37544,            0.045936,            0.017867,                   0,             0.00748,             0.00748,             0.00748
                  86,            0.051897,            0.019485,                   0,             0.86667,             0.72225,             0.78901,             0.38724,            0.045929,            0.017826,                   0,             0.00745,             0.00745,             0.00745
                  87,            0.050658,            0.021491,                   0,             0.82033,             0.73221,             0.78809,             0.39264,            0.045849,            0.017622,                   0,             0.00742,             0.00742,             0.00742
                  88,             0.05259,            0.019826,                   0,             0.84293,             0.74844,             0.80036,             0.38705,            0.045894,            0.017346,                   0,             0.00739,             0.00739,             0.00739
                  89,            0.053531,            0.020116,                   0,             0.84559,             0.75205,             0.81611,             0.41107,             0.04503,            0.017191,                   0,             0.00736,             0.00736,             0.00736
                  90,            0.051591,            0.021585,                   0,              0.8378,              0.7372,             0.80313,             0.39503,            0.045708,            0.017312,                   0,             0.00733,             0.00733,             0.00733
                  91,            0.052684,            0.019859,                   0,             0.83287,             0.73908,             0.80181,              0.3967,            0.045377,            0.017422,                   0,              0.0073,              0.0073,              0.0073
                  92,            0.051344,            0.019137,                   0,             0.86299,              0.7191,             0.80065,              0.3821,            0.046346,            0.017277,                   0,             0.00727,             0.00727,             0.00727
                  93,            0.052393,            0.020131,                   0,             0.82939,             0.73434,             0.79477,             0.39626,            0.045339,            0.017575,                   0,             0.00724,             0.00724,             0.00724
                  94,            0.050986,            0.019169,                   0,             0.82789,             0.74719,              0.8098,             0.40117,             0.04507,            0.017195,                   0,             0.00721,             0.00721,             0.00721
                  95,            0.051372,            0.018874,                   0,             0.82887,             0.73408,              0.7963,              0.3978,            0.045736,            0.017434,                   0,             0.00718,             0.00718,             0.00718
                  96,            0.051136,            0.018274,                   0,             0.84857,             0.72597,             0.80366,             0.40026,            0.045897,            0.017323,                   0,             0.00715,             0.00715,             0.00715
                  97,            0.049739,            0.018009,                   0,             0.83571,             0.73408,             0.79204,             0.39214,            0.045957,            0.017516,                   0,             0.00712,             0.00712,             0.00712
                  98,            0.050909,            0.019313,                   0,             0.84116,             0.72726,             0.79378,             0.38453,            0.046132,            0.017334,                   0,             0.00709,             0.00709,             0.00709
                  99,            0.052586,            0.021363,                   0,             0.83309,             0.74345,             0.79795,             0.39555,            0.045704,            0.017302,                   0,             0.00706,             0.00706,             0.00706
                 100,            0.052178,            0.019461,                   0,             0.85314,             0.72784,             0.79579,             0.38723,             0.04597,            0.017525,                   0,             0.00703,             0.00703,             0.00703
                 101,            0.050037,             0.02038,                   0,             0.86294,             0.73034,             0.79995,             0.39504,            0.045294,            0.017563,                   0,               0.007,               0.007,               0.007
                 102,            0.050438,             0.01845,                   0,             0.84321,             0.72909,             0.79357,             0.38756,            0.045665,            0.017342,                   0,             0.00697,             0.00697,             0.00697
                 103,            0.051886,            0.020777,                   0,             0.83824,             0.71486,             0.78536,             0.38736,            0.045361,            0.017671,                   0,             0.00694,             0.00694,             0.00694
                 104,             0.05005,            0.021764,                   0,              0.8396,             0.73596,             0.79158,             0.39106,            0.045383,            0.017686,                   0,             0.00691,             0.00691,             0.00691
                 105,            0.051148,            0.020045,                   0,             0.85039,             0.73091,             0.78932,             0.39484,            0.045326,              0.0179,                   0,             0.00688,             0.00688,             0.00688
                 106,              0.0507,            0.020237,                   0,             0.86818,             0.72659,             0.79948,             0.39826,            0.045416,            0.017542,                   0,             0.00685,             0.00685,             0.00685
                 107,            0.051503,            0.020549,                   0,             0.84331,             0.74657,             0.79995,             0.39573,            0.045168,            0.017106,                   0,             0.00682,             0.00682,             0.00682
                 108,            0.050563,            0.018776,                   0,             0.85943,             0.75183,             0.80437,              0.4012,            0.045175,            0.017119,                   0,             0.00679,             0.00679,             0.00679
                 109,            0.049952,            0.018678,                   0,             0.85511,             0.74049,             0.80697,             0.40006,            0.045388,            0.017201,                   0,             0.00676,             0.00676,             0.00676
                 110,            0.050186,            0.019763,                   0,             0.83878,             0.74157,             0.80495,             0.39189,            0.046025,            0.017368,                   0,             0.00673,             0.00673,             0.00673
                 111,            0.050104,            0.018382,                   0,              0.8453,              0.7397,             0.81013,             0.39404,            0.045897,            0.017309,                   0,              0.0067,              0.0067,              0.0067
                 112,            0.049631,            0.019701,                   0,             0.84455,             0.73251,             0.80328,             0.39182,            0.045816,            0.017278,                   0,             0.00667,             0.00667,             0.00667
                 113,            0.052655,            0.019768,                   0,             0.85313,              0.7372,             0.79152,             0.39317,            0.045497,            0.017729,                   0,             0.00664,             0.00664,             0.00664
                 114,            0.051108,            0.019287,                   0,              0.8318,             0.74085,             0.79172,             0.39613,            0.045604,            0.017888,                   0,             0.00661,             0.00661,             0.00661
                 115,            0.050819,             0.01819,                   0,             0.85912,              0.7271,             0.80201,             0.39942,            0.045938,            0.017229,                   0,             0.00658,             0.00658,             0.00658
                 116,             0.05143,            0.021371,                   0,             0.84723,             0.73596,              0.7979,             0.39715,            0.045018,            0.017551,                   0,             0.00655,             0.00655,             0.00655
                 117,            0.050271,            0.019462,                   0,             0.83789,             0.74095,             0.79064,             0.38995,            0.045612,            0.017536,                   0,             0.00652,             0.00652,             0.00652
                 118,            0.049064,            0.019273,                   0,              0.8688,             0.73283,             0.81128,             0.39898,            0.045174,            0.017585,                   0,             0.00649,             0.00649,             0.00649
                 119,             0.04856,            0.019029,                   0,             0.85679,             0.73408,              0.8024,             0.39956,            0.045293,            0.017257,                   0,             0.00646,             0.00646,             0.00646
                 120,            0.049708,            0.021113,                   0,             0.80656,             0.75218,             0.79171,             0.38834,            0.046206,            0.017319,                   0,             0.00643,             0.00643,             0.00643
