Ep 16 | B 60 | Src:19.33 | Psd:37.91 | PLs:22 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 70 | Src:14.05 | Psd:39.45 | PLs:21 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 80 | Src:15.83 | Psd:46.83 | PLs:21 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 16 | B 90 | Src:19.36 | Psd:47.45 | PLs:26 | λ:0.800 | Conf:0.64 | LR:1.88e-03
Ep 17 | B 0 | Src:13.61 | Psd:43.56 | PLs:24 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 10 | Src:14.56 | Psd:43.88 | PLs:23 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 20 | Src:18.06 | Psd:44.68 | PLs:25 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 30 | Src:26.38 | Psd:38.81 | PLs:25 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 40 | Src:19.32 | Psd:40.77 | PLs:25 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 50 | Src:15.33 | Psd:38.37 | PLs:27 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 60 | Src:22.45 | Psd:35.65 | PLs:21 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 70 | Src:14.91 | Psd:32.88 | PLs:24 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 80 | Src:12.35 | Psd:37.09 | PLs:20 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 17 | B 90 | Src:14.69 | Psd:47.51 | PLs:24 | λ:0.850 | Conf:0.63 | LR:1.86e-03
Ep 18 | B 0 | Src:12.81 | Psd:33.04 | PLs:23 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 10 | Src:13.87 | Psd:32.76 | PLs:20 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 20 | Src:17.05 | Psd:29.14 | PLs:22 | λ:0.900 | Conf:0.63 | LR:1.85e-03
Ep 18 | B 30 | Src:15.42 | Psd:25.02 | PLs:18 | λ:0.900 | Conf:0.63 | LR:1.85e-03
