Ep 5 | B 90 | Src:11.20 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.94e-05
Ep 6 | B 0 | Src:10.65 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 10 | Src:11.40 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 20 | Src:13.51 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 30 | Src:12.19 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 40 | Src:13.22 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 50 | Src:9.43 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 60 | Src:11.51 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 70 | Src:11.87 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 80 | Src:9.46 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 6 | B 90 | Src:12.58 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.91e-05
Ep 7 | B 0 | Src:9.83 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 10 | Src:14.29 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 20 | Src:11.08 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 30 | Src:11.45 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 40 | Src:10.64 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 50 | Src:9.41 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 60 | Src:12.43 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 70 | Src:10.31 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 80 | Src:10.85 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 7 | B 90 | Src:8.87 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.88e-05
Ep 8 | B 0 | Src:10.49 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 10 | Src:11.28 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 20 | Src:11.33 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
Ep 8 | B 30 | Src:13.10 | Psd:0.00 | PLs:0 | AvgC:0.000 | λ:0.000 | Conf:0.49 | LR:9.84e-05
