Ep 14 | B 0 | Src:10.7426 | Psd:38.1369 | PLs:28 | LR:4.98e-05
Ep 14 | B 10 | Src:8.3563 | Psd:38.4638 | PLs:28 | LR:4.97e-05
Ep 14 | B 20 | Src:25.9422 | Psd:37.8678 | PLs:29 | LR:4.97e-05
Ep 14 | B 30 | Src:15.5531 | Psd:33.6720 | PLs:29 | LR:4.97e-05
Ep 14 | B 40 | Src:10.7126 | Psd:40.5262 | PLs:31 | LR:4.97e-05
Ep 14 | B 50 | Src:10.0333 | Psd:38.1920 | PLs:27 | LR:4.97e-05
Ep 14 | B 60 | Src:17.2374 | Psd:40.2937 | PLs:28 | LR:4.97e-05
Ep 14 | B 70 | Src:14.5949 | Psd:37.6963 | PLs:29 | LR:4.96e-05
Ep 14 | B 80 | Src:20.0043 | Psd:34.5041 | PLs:24 | LR:4.96e-05
Ep 15 | B 0 | Src:15.5615 | Psd:33.9262 | PLs:26 | LR:4.96e-05
Ep 15 | B 10 | Src:10.9916 | Psd:36.4235 | PLs:29 | LR:4.96e-05
Ep 15 | B 20 | Src:15.8795 | Psd:37.0523 | PLs:27 | LR:4.96e-05
Ep 15 | B 30 | Src:7.2723 | Psd:39.6572 | PLs:28 | LR:4.96e-05
Ep 15 | B 40 | Src:11.0938 | Psd:35.8392 | PLs:27 | LR:4.95e-05
Ep 15 | B 50 | Src:9.7705 | Psd:37.3920 | PLs:28 | LR:4.95e-05
Ep 15 | B 60 | Src:10.2624 | Psd:45.0615 | PLs:31 | LR:4.95e-05
Ep 15 | B 70 | Src:11.2229 | Psd:35.0545 | PLs:28 | LR:4.95e-05
Ep 15 | B 80 | Src:8.8340 | Psd:32.6403 | PLs:25 | LR:4.95e-05
Ep 16 | B 0 | Src:13.0429 | Psd:36.3254 | PLs:29 | LR:4.94e-05
Ep 16 | B 10 | Src:10.3713 | Psd:35.1189 | PLs:28 | LR:4.94e-05
Ep 16 | B 20 | Src:11.8405 | Psd:32.2832 | PLs:28 | LR:4.94e-05
Ep 16 | B 30 | Src:7.7197 | Psd:33.4682 | PLs:28 | LR:4.94e-05
Ep 16 | B 40 | Src:17.7683 | Psd:38.4613 | PLs:27 | LR:4.94e-05
Ep 16 | B 50 | Src:9.8897 | Psd:33.7696 | PLs:27 | LR:4.93e-05
Ep 16 | B 60 | Src:10.0435 | Psd:41.5395 | PLs:27 | LR:4.93e-05
Ep 16 | B 70 | Src:11.6252 | Psd:28.4774 | PLs:26 | LR:4.93e-05
Ep 16 | B 80 | Src:12.1881 | Psd:35.5711 | PLs:27 | LR:4.93e-05
Ep 17 | B 0 | Src:12.5498 | Psd:42.2417 | PLs:28 | LR:4.93e-05
Ep 17 | B 10 | Src:11.3416 | Psd:34.9711 | PLs:25 | LR:4.92e-05
Ep 17 | B 20 | Src:10.6875 | Psd:39.4233 | PLs:27 | LR:4.92e-05
Ep 17 | B 30 | Src:13.0192 | Psd:42.9433 | PLs:28 | LR:4.92e-05
Ep 17 | B 40 | Src:13.2769 | Psd:37.3052 | PLs:26 | LR:4.92e-05
Ep 17 | B 50 | Src:10.9454 | Psd:26.4191 | PLs:25 | LR:4.91e-05
