               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.055264,            0.020191,                   0,             0.80516,             0.73531,             0.79017,             0.35541,            0.047348,            0.018987,                   0,              0.0085,              0.0085,              0.0085
                  52,            0.054073,            0.020279,                   0,             0.81007,             0.73132,             0.78563,             0.35719,            0.047092,            0.019129,                   0,             0.00847,             0.00847,             0.00847
                  53,            0.052623,            0.020754,                   0,             0.76509,             0.73488,             0.77914,             0.35484,            0.046656,            0.019397,                   0,             0.00844,             0.00844,             0.00844
                  54,            0.054701,            0.021478,                   0,             0.83534,             0.72514,             0.79853,              0.3722,            0.046143,            0.018963,                   0,             0.00841,             0.00841,             0.00841
                  55,            0.053476,            0.020503,                   0,              0.8122,              0.7325,             0.79587,             0.36407,            0.046526,            0.018887,                   0,             0.00838,             0.00838,             0.00838
                  56,             0.05397,            0.019694,                   0,             0.79286,             0.71945,             0.77151,             0.35102,            0.046914,            0.019373,                   0,             0.00835,             0.00835,             0.00835
                  57,            0.054406,             0.01902,                   0,             0.79649,              0.7414,             0.79093,             0.36403,            0.046845,             0.01929,                   0,             0.00832,             0.00832,             0.00832
                  58,            0.053538,            0.020362,                   0,             0.80361,             0.70878,             0.77612,             0.35506,            0.047231,            0.019727,                   0,             0.00829,             0.00829,             0.00829
                  59,             0.05388,            0.020928,                   0,             0.82239,             0.73962,             0.79861,             0.36761,            0.046974,            0.018875,                   0,             0.00826,             0.00826,             0.00826
                  60,            0.053746,            0.019985,                   0,             0.79491,             0.72598,             0.78278,             0.35732,            0.046933,            0.019152,                   0,             0.00823,             0.00823,             0.00823
                  61,            0.053256,            0.020382,                   0,             0.83461,             0.72134,             0.79086,             0.37156,            0.046591,            0.018874,                   0,              0.0082,              0.0082,              0.0082
                  62,            0.055123,            0.020869,                   0,             0.81541,             0.74021,             0.79268,              0.3595,            0.047138,            0.019153,                   0,             0.00817,             0.00817,             0.00817
                  63,            0.053112,            0.019387,                   0,             0.82164,             0.72716,              0.7905,             0.36733,            0.046532,            0.018808,                   0,             0.00814,             0.00814,             0.00814
                  64,            0.054214,            0.020512,                   0,             0.80067,             0.73856,             0.79309,             0.36533,            0.046242,             0.01861,                   0,             0.00811,             0.00811,             0.00811
                  65,            0.051216,            0.019544,                   0,             0.80684,             0.73665,             0.78773,             0.36865,            0.045909,            0.018624,                   0,             0.00808,             0.00808,             0.00808
                  66,            0.053093,            0.019018,                   0,             0.80785,               0.707,             0.76905,             0.34312,             0.04718,            0.019174,                   0,             0.00805,             0.00805,             0.00805
                  67,            0.052241,            0.020848,                   0,             0.81217,             0.74437,             0.78797,             0.37266,            0.046375,            0.018878,                   0,             0.00802,             0.00802,             0.00802
                  68,            0.052985,             0.02058,                   0,             0.82009,             0.76157,              0.8092,             0.37517,            0.046245,            0.018731,                   0,             0.00799,             0.00799,             0.00799
                  69,            0.051772,            0.019005,                   0,             0.82097,             0.72618,             0.79108,             0.35791,            0.046095,            0.018897,                   0,             0.00796,             0.00796,             0.00796
                  70,            0.054051,             0.01868,                   0,             0.79514,             0.73665,             0.78693,             0.36002,            0.046581,             0.01911,                   0,             0.00793,             0.00793,             0.00793
                  71,            0.051372,            0.019846,                   0,             0.85598,             0.71234,             0.78654,             0.37172,            0.046188,            0.019332,                   0,              0.0079,              0.0079,              0.0079
                  72,            0.053092,            0.018972,                   0,             0.83604,             0.71977,              0.7986,             0.38071,             0.04596,            0.018644,                   0,             0.00787,             0.00787,             0.00787
                  73,            0.051236,            0.020112,                   0,             0.80901,             0.75118,             0.79733,             0.38417,            0.046445,             0.01891,                   0,             0.00784,             0.00784,             0.00784
                  74,            0.053701,            0.018892,                   0,             0.83081,             0.73687,             0.79433,             0.37235,            0.047231,            0.019037,                   0,             0.00781,             0.00781,             0.00781
                  75,            0.052508,            0.019822,                   0,             0.84032,             0.72894,              0.7969,              0.3672,            0.046551,            0.018656,                   0,             0.00778,             0.00778,             0.00778
                  76,            0.052024,            0.019566,                   0,             0.80694,             0.73606,             0.79955,             0.37261,            0.045762,            0.018894,                   0,             0.00775,             0.00775,             0.00775
                  77,             0.05257,            0.018603,                   0,             0.83327,              0.7497,             0.81283,             0.37576,            0.045714,            0.018533,                   0,             0.00772,             0.00772,             0.00772
                  78,            0.052786,            0.018709,                   0,             0.80716,             0.75718,              0.7973,             0.36816,             0.04538,            0.018729,                   0,             0.00769,             0.00769,             0.00769
                  79,            0.051653,            0.020198,                   0,             0.83374,              0.7436,             0.79609,             0.36424,            0.046237,            0.018534,                   0,             0.00766,             0.00766,             0.00766
                  80,            0.050733,            0.018911,                   0,             0.81764,             0.76057,             0.80846,             0.38282,            0.045098,            0.018541,                   0,             0.00763,             0.00763,             0.00763
                  81,            0.052476,             0.01889,                   0,             0.80584,              0.7631,             0.80037,             0.38045,            0.045795,            0.018664,                   0,              0.0076,              0.0076,              0.0076
