Ep 8 | B 70 | Src:9.33 | Psd:59.48 | PLs:32 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 80 | Src:12.72 | Psd:62.88 | PLs:28 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 8 | B 90 | Src:9.00 | Psd:73.01 | PLs:32 | λ:0.020 | Conf:0.70 | LR:9.84e-05
Ep 9 | B 0 | Src:11.02 | Psd:71.84 | PLs:31 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 10 | Src:14.68 | Psd:65.72 | PLs:32 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 20 | Src:12.62 | Psd:68.82 | PLs:30 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 30 | Src:10.39 | Psd:69.48 | PLs:31 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 40 | Src:7.29 | Psd:62.44 | PLs:32 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 50 | Src:10.64 | Psd:72.04 | PLs:28 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 60 | Src:10.58 | Psd:66.95 | PLs:32 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 70 | Src:10.58 | Psd:63.12 | PLs:29 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 80 | Src:10.67 | Psd:65.60 | PLs:31 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 9 | B 90 | Src:10.42 | Psd:68.03 | PLs:32 | λ:0.023 | Conf:0.70 | LR:9.80e-05
Ep 10 | B 0 | Src:11.71 | Psd:62.94 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 10 | Src:13.77 | Psd:63.74 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 20 | Src:8.88 | Psd:62.90 | PLs:32 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 30 | Src:10.36 | Psd:65.99 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 40 | Src:13.57 | Psd:64.10 | PLs:28 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 50 | Src:7.77 | Psd:64.88 | PLs:28 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 60 | Src:16.67 | Psd:62.97 | PLs:30 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 70 | Src:9.01 | Psd:67.73 | PLs:29 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 80 | Src:11.36 | Psd:64.36 | PLs:32 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 10 | B 90 | Src:11.66 | Psd:61.62 | PLs:32 | λ:0.025 | Conf:0.70 | LR:9.76e-05
Ep 11 | B 0 | Src:9.07 | Psd:60.17 | PLs:31 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 10 | Src:13.36 | Psd:65.18 | PLs:31 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 20 | Src:12.57 | Psd:64.40 | PLs:32 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 30 | Src:14.40 | Psd:66.65 | PLs:29 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 40 | Src:13.95 | Psd:65.81 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 50 | Src:10.93 | Psd:60.53 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 60 | Src:10.79 | Psd:60.43 | PLs:32 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 70 | Src:11.63 | Psd:59.20 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 80 | Src:13.41 | Psd:63.49 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 11 | B 90 | Src:9.62 | Psd:64.07 | PLs:30 | λ:0.028 | Conf:0.70 | LR:9.71e-05
Ep 12 | B 0 | Src:10.79 | Psd:62.22 | PLs:29 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 10 | Src:11.59 | Psd:67.06 | PLs:30 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 20 | Src:8.70 | Psd:63.06 | PLs:32 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 30 | Src:15.57 | Psd:62.78 | PLs:31 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 40 | Src:13.63 | Psd:58.08 | PLs:31 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 50 | Src:11.29 | Psd:58.15 | PLs:30 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 60 | Src:11.87 | Psd:55.85 | PLs:30 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 70 | Src:10.34 | Psd:63.76 | PLs:29 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 80 | Src:7.93 | Psd:59.68 | PLs:27 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 90 | Src:12.47 | Psd:59.73 | PLs:32 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 13 | B 0 | Src:12.69 | Psd:57.51 | PLs:29 | λ:0.033 | Conf:0.70 | LR:9.59e-05
