Ep 12 | B 40 | Src:15.11 | Psd:70.02 | PLs:30 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 50 | Src:16.08 | Psd:72.35 | PLs:27 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 60 | Src:11.69 | Psd:58.76 | PLs:22 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 70 | Src:11.04 | Psd:61.53 | PLs:32 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 80 | Src:12.57 | Psd:62.48 | PLs:26 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 12 | B 90 | Src:12.01 | Psd:63.01 | PLs:27 | λ:0.030 | Conf:0.70 | LR:9.65e-05
Ep 13 | B 0 | Src:14.04 | Psd:62.75 | PLs:27 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 10 | Src:10.79 | Psd:58.97 | PLs:27 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 20 | Src:17.58 | Psd:62.85 | PLs:27 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 30 | Src:27.76 | Psd:57.66 | PLs:26 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 40 | Src:10.85 | Psd:64.57 | PLs:27 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 50 | Src:14.12 | Psd:59.47 | PLs:27 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 60 | Src:12.75 | Psd:64.13 | PLs:28 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 70 | Src:16.95 | Psd:51.70 | PLs:22 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 80 | Src:16.19 | Psd:56.70 | PLs:23 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 13 | B 90 | Src:9.17 | Psd:47.73 | PLs:21 | λ:0.033 | Conf:0.70 | LR:9.59e-05
Ep 14 | B 0 | Src:10.72 | Psd:58.50 | PLs:27 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 10 | Src:12.54 | Psd:62.78 | PLs:29 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 20 | Src:16.64 | Psd:59.40 | PLs:28 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 30 | Src:18.10 | Psd:64.08 | PLs:30 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 40 | Src:11.18 | Psd:69.02 | PLs:31 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 50 | Src:11.25 | Psd:21.62 | PLs:11 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 60 | Src:16.78 | Psd:57.42 | PLs:28 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 70 | Src:10.79 | Psd:62.71 | PLs:25 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 80 | Src:11.21 | Psd:59.05 | PLs:26 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 14 | B 90 | Src:12.83 | Psd:61.97 | PLs:25 | λ:0.035 | Conf:0.70 | LR:9.53e-05
Ep 15 | B 0 | Src:14.20 | Psd:57.11 | PLs:29 | λ:0.038 | Conf:0.70 | LR:9.46e-05
