epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
81,6721.05,0.58587,0.50225,0.10733,0.66888,0.74443,0.69084,0.31721,0.60814,0.49578,0.11793,7.36e-05,7.36e-05,7.36e-05
82,6802.62,0.59395,0.49188,0.10438,0.67812,0.72629,0.68874,0.31904,0.5958,0.49583,0.11578,7.327e-05,7.327e-05,7.327e-05
83,6884.91,0.62529,0.50017,0.12086,0.6587,0.72024,0.68156,0.30485,0.62679,0.50634,0.1233,7.294e-05,7.294e-05,7.294e-05
84,6967.46,0.62733,0.50097,0.11695,0.67361,0.72091,0.68804,0.31029,0.61901,0.49192,0.12204,7.261e-05,7.261e-05,7.261e-05
85,7049.74,0.60327,0.49394,0.10737,0.68053,0.73907,0.70781,0.33253,0.59066,0.49486,0.11638,7.228e-05,7.228e-05,7.228e-05
86,7133.03,0.60054,0.50034,0.10759,0.69339,0.71352,0.6878,0.30247,0.64009,0.49465,0.12938,7.195e-05,7.195e-05,7.195e-05
87,7215.99,0.58882,0.49491,0.11354,0.66628,0.74445,0.69771,0.32243,0.60193,0.49492,0.11786,7.162e-05,7.162e-05,7.162e-05
88,7298.33,0.59858,0.49422,0.11128,0.69981,0.72831,0.69766,0.32565,0.59723,0.50106,0.11743,7.129e-05,7.129e-05,7.129e-05
89,7380.67,0.57591,0.49114,0.10327,0.72079,0.70484,0.69506,0.31575,0.61378,0.50796,0.12082,7.096e-05,7.096e-05,7.096e-05
90,7462.49,0.59105,0.48114,0.10231,0.66514,0.73736,0.69257,0.3244,0.59854,0.49759,0.11748,7.063e-05,7.063e-05,7.063e-05
91,7544.47,0.55367,0.47866,0.10037,0.65227,0.75588,0.69616,0.32248,0.60752,0.51468,0.11862,7.03e-05,7.03e-05,7.03e-05
92,7626.74,0.57426,0.48846,0.10688,0.6747,0.74243,0.69549,0.32533,0.59336,0.51275,0.11472,6.997e-05,6.997e-05,6.997e-05
93,7709.32,0.57943,0.48761,0.10069,0.68238,0.74408,0.70693,0.32174,0.61579,0.49091,0.11804,6.964e-05,6.964e-05,6.964e-05
94,7791,0.56161,0.47612,0.09875,0.69423,0.73441,0.70658,0.31849,0.62346,0.49234,0.12261,6.931e-05,6.931e-05,6.931e-05
95,7873.77,0.58892,0.498,0.11166,0.74619,0.72697,0.72249,0.33369,0.60456,0.49141,0.11901,6.898e-05,6.898e-05,6.898e-05
96,7956.81,0.58553,0.49816,0.09976,0.7399,0.73504,0.71342,0.32723,0.62102,0.48998,0.12409,6.865e-05,6.865e-05,6.865e-05
97,8039.38,0.58943,0.49989,0.10625,0.73785,0.72562,0.7169,0.32667,0.60987,0.50051,0.1207,6.832e-05,6.832e-05,6.832e-05
98,8122.12,0.57769,0.47865,0.11032,0.73218,0.73167,0.70802,0.32772,0.61733,0.48723,0.12219,6.799e-05,6.799e-05,6.799e-05
99,8204.84,0.5801,0.47519,0.10284,0.7253,0.73773,0.71791,0.33275,0.60848,0.48388,0.1165,6.766e-05,6.766e-05,6.766e-05
