Epoch 17 | Batch 70 | Src[Box:1.1639, Cls:1.5895, DFL:0.0131] | Psd[Box:2.0139, Cls:3.4554, PLs:29]
Epoch 17 | Batch 80 | Src[Box:0.9586, Cls:0.8699, DFL:0.0249] | Psd[Box:2.2606, Cls:3.2016, PLs:29]
Epoch 18 | Batch 0 | Src[Box:1.2793, Cls:0.8550, DFL:0.0157] | Psd[Box:2.2390, Cls:3.4100, PLs:31]
Epoch 18 | Batch 10 | Src[Box:1.5440, Cls:1.3081, DFL:0.0226] | Psd[Box:1.7731, Cls:3.3732, PLs:24]
Epoch 18 | Batch 20 | Src[Box:1.0275, Cls:1.1490, DFL:0.0316] | Psd[Box:2.1117, Cls:3.4804, PLs:24]
Epoch 18 | Batch 30 | Src[Box:1.9334, Cls:2.1563, DFL:0.0186] | Psd[Box:2.1193, Cls:3.1947, PLs:28]
Epoch 18 | Batch 40 | Src[Box:0.9622, Cls:2.6903, DFL:0.0131] | Psd[Box:1.8812, Cls:3.6941, PLs:29]
Epoch 18 | Batch 50 | Src[Box:0.9047, Cls:3.4790, DFL:0.0057] | Psd[Box:1.9221, Cls:3.5404, PLs:24]
Epoch 18 | Batch 60 | Src[Box:1.2478, Cls:1.2445, DFL:0.0192] | Psd[Box:2.3312, Cls:3.4023, PLs:32]
Epoch 18 | Batch 70 | Src[Box:0.9494, Cls:1.6246, DFL:0.0434] | Psd[Box:1.7246, Cls:3.2021, PLs:25]
Epoch 18 | Batch 80 | Src[Box:1.0197, Cls:1.3603, DFL:0.0131] | Psd[Box:1.9245, Cls:3.1692, PLs:26]
Epoch 19 | Batch 0 | Src[Box:1.0485, Cls:1.3425, DFL:0.0147] | Psd[Box:1.9437, Cls:3.1638, PLs:26]
Epoch 19 | Batch 10 | Src[Box:1.4129, Cls:1.3500, DFL:0.0180] | Psd[Box:2.0815, Cls:3.3443, PLs:29]
Epoch 19 | Batch 20 | Src[Box:2.4631, Cls:2.9319, DFL:0.0121] | Psd[Box:2.2913, Cls:3.3490, PLs:27]
Epoch 19 | Batch 30 | Src[Box:1.1891, Cls:1.2386, DFL:0.0184] | Psd[Box:2.6413, Cls:3.5654, PLs:33]
Epoch 19 | Batch 40 | Src[Box:1.2968, Cls:0.9487, DFL:0.0189] | Psd[Box:2.1884, Cls:3.5209, PLs:25]
Epoch 19 | Batch 50 | Src[Box:1.0908, Cls:2.0590, DFL:0.0091] | Psd[Box:2.0652, Cls:3.2711, PLs:26]
Epoch 19 | Batch 60 | Src[Box:1.3841, Cls:1.0489, DFL:0.0335] | Psd[Box:1.9850, Cls:3.3652, PLs:24]
Epoch 19 | Batch 70 | Src[Box:1.3067, Cls:0.7737, DFL:0.0140] | Psd[Box:2.3391, Cls:3.3164, PLs:26]
Epoch 19 | Batch 80 | Src[Box:1.8282, Cls:2.2876, DFL:0.0092] | Psd[Box:2.7470, Cls:3.6623, PLs:27]
Epoch 20 | Batch 0 | Src[Box:1.1379, Cls:1.4563, DFL:0.0156] | Psd[Box:2.0884, Cls:3.6749, PLs:30]
Epoch 20 | Batch 10 | Src[Box:0.9243, Cls:3.8638, DFL:0.0041] | Psd[Box:1.9583, Cls:3.2364, PLs:31]
Epoch 20 | Batch 20 | Src[Box:1.2709, Cls:1.7252, DFL:0.0091] | Psd[Box:2.2163, Cls:3.2768, PLs:23]
Epoch 20 | Batch 30 | Src[Box:0.7092, Cls:0.8520, DFL:0.0133] | Psd[Box:1.9371, Cls:3.5594, PLs:25]
Epoch 20 | Batch 40 | Src[Box:1.2118, Cls:0.8342, DFL:0.0174] | Psd[Box:2.6680, Cls:3.6771, PLs:30]
Epoch 20 | Batch 50 | Src[Box:0.9622, Cls:1.4522, DFL:0.0171] | Psd[Box:1.6250, Cls:3.1952, PLs:20]
Epoch 20 | Batch 60 | Src[Box:1.0657, Cls:1.4944, DFL:0.0091] | Psd[Box:2.1101, Cls:3.2050, PLs:25]
Epoch 20 | Batch 70 | Src[Box:0.7857, Cls:1.0271, DFL:0.0365] | Psd[Box:2.7105, Cls:3.4462, PLs:32]
Epoch 20 | Batch 80 | Src[Box:1.0382, Cls:1.3566, DFL:0.0270] | Psd[Box:2.2893, Cls:3.4624, PLs:29]
Epoch 21 | Batch 0 | Src[Box:1.6912, Cls:2.3840, DFL:0.0125] | Psd[Box:2.4400, Cls:3.2454, PLs:30]
Epoch 21 | Batch 10 | Src[Box:1.3258, Cls:1.6392, DFL:0.0222] | Psd[Box:2.1619, Cls:3.5481, PLs:24]
