Ep 8 | B 30 | Src:12.99 | Psd:72.35 | PLs:29 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 40 | Src:10.55 | Psd:66.30 | PLs:28 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 50 | Src:21.98 | Psd:69.58 | PLs:30 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 60 | Src:10.17 | Psd:64.94 | PLs:27 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 70 | Src:13.08 | Psd:64.37 | PLs:28 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 80 | Src:14.21 | Psd:63.87 | PLs:27 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 8 | B 90 | Src:9.70 | Psd:61.43 | PLs:31 | λ:0.040 | Conf:0.68 | LR:9.84e-05
Ep 9 | B 0 | Src:13.48 | Psd:64.63 | PLs:30 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 10 | Src:12.20 | Psd:60.54 | PLs:27 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 20 | Src:17.22 | Psd:64.07 | PLs:23 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 30 | Src:14.12 | Psd:59.07 | PLs:26 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 40 | Src:14.25 | Psd:53.78 | PLs:22 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 50 | Src:9.98 | Psd:49.04 | PLs:21 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 60 | Src:12.94 | Psd:61.12 | PLs:28 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 70 | Src:13.69 | Psd:64.12 | PLs:31 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 80 | Src:12.07 | Psd:52.69 | PLs:22 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 9 | B 90 | Src:15.80 | Psd:50.24 | PLs:21 | λ:0.045 | Conf:0.68 | LR:9.80e-05
Ep 10 | B 0 | Src:17.25 | Psd:59.02 | PLs:26 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 10 | Src:12.51 | Psd:53.82 | PLs:26 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 20 | Src:11.50 | Psd:59.09 | PLs:25 | λ:0.050 | Conf:0.68 | LR:9.76e-05
Ep 10 | B 30 | Src:16.56 | Psd:56.17 | PLs:25 | λ:0.050 | Conf:0.68 | LR:9.76e-05
